Date,Close
2015-03-02,68.46
2015-03-03,66.95
2015-03-04,64.88
2015-03-05,65.59
2015-03-06,64.56
2015-03-09,65.48
2015-03-10,63.76
2015-03-11,63.68
2015-03-12,64.95
2015-03-13,64.6
2015-03-16,66.43
2015-03-17,67.55
2015-03-18,68.55
2015-03-19,68.88
2015-03-20,67.69
2015-03-23,67.66
2015-03-24,67.37
2015-03-25,65.78
2015-03-26,65.99
2015-03-27,66.55
2015-03-30,66.85
2015-03-31,66.81
2015-04-01,66.08
2015-04-02,66.68
2015-04-06,67.94
2015-04-07,68.2
2015-04-08,68.21
2015-04-09,67.74
2015-04-10,67.64
2015-04-13,67.08
2015-04-14,66.91
2015-04-15,67.21
2015-04-16,67.91
2015-04-17,65.81
2015-04-20,66.9
2015-04-21,67.38
2015-04-22,67.71
2015-04-23,68.47
2015-04-24,67.83
2015-04-27,67.84
2015-04-28,66.89
2015-04-29,74.65
2015-04-30,72.82
2015-05-01,73.36
2015-05-04,71.6
2015-05-05,72.75
2015-05-06,73.79
2015-05-07,74.52
2015-05-08,72.4
2015-05-11,71.2
2015-05-12,71.77
2015-05-13,71.79
2015-05-14,72.88
2015-05-15,72.4
2015-05-18,72.8
2015-05-19,71.48
2015-05-20,70.16
2015-05-21,72.91
2015-05-22,75.01
2015-05-26,73.57
2015-05-27,73.95
2015-05-28,72.68
2015-05-29,72.75
2015-06-01,73.1
2015-06-02,72.9
2015-06-03,73.47
2015-06-04,72.21
2015-06-05,73.55
2015-06-08,71.84
2015-06-09,71.76
2015-06-10,73.03
2015-06-11,72.4
2015-06-12,71.77
2015-06-15,72.56
2015-06-16,73.4
2015-06-17,74.42
2015-06-18,75.71
2015-06-19,75
2015-06-22,74.78
2015-06-23,74.2
2015-06-24,73.5
2015-06-25,73.61
2015-06-26,72.34
2015-06-29,70
2015-06-30,69.63
2015-07-01,70.54
2015-07-02,70.42
2015-07-06,69.16
2015-07-07,70.26
2015-07-08,69.39
2015-07-09,69.96
2015-07-10,71.14
2015-07-13,71.05
2015-07-14,71.79
2015-07-15,71.36
2015-07-16,72.42
2015-07-17,72.81
2015-07-20,72.77
2015-07-21,73.83
2015-07-22,73.87
2015-07-23,72.21
2015-07-24,73.92
2015-07-27,72.46
2015-07-28,73.79
2015-07-29,73.88
2015-07-30,73.36
2015-07-31,73.3
2015-08-03,72.44
2015-08-04,71.89
2015-08-05,72.53
2015-08-06,70.43
2015-08-07,70.41
2015-08-10,71.27
2015-08-11,71.63
2015-08-12,71.04
2015-08-13,71.4
2015-08-14,72.99
